,population,area,density
Paris,10785092,105,3800
Stockholm,1605030,188,4200
London,9787426,1572,5666
Berlin,4473100,891,5020
Munich,2606021,310,4800
Oporto,287591,41,6900
Milan,1399860,181,7700
Bratislava,563682,367,661
Vienna,1911191,414,4326
Rome,4342212,1285,2236
Barcelona,4840000,101,16000
Madrid,6345000,604,5300
Dublin,1173179,117,4811
Brussels,1208542,162,7400
Zurich,415215,87,4700
Warsaw,1793579,517,3460
Budapest,2997958,525,3388
Copenhagen,1330993,179,4600
Amsterdam,1558755,219,7118
Lyon,1659001,47,1400
Hamburg,2484800,755,2400
Lisbon,2042477,100,20425
Prague,1324277,496,2700
Oslo,1019513,480,2124
Helsinki,1268296,3076,1900
Edinburgh,512150,1828,1828
Geneva,201818,15,13000
Ljubljana,295504,163,1712
Athens,3090508,38,7500
Luxembourg,124528,2400,2400
Krakow,779115,326,2359
