	color_hex	section	price	mileage	state_not_beaten	owners_number	year	custom_cleared	steering_wheel	body_type	doors_count	auto_class	trunk_volume_min	trunk_volume_max	body_type_group	displacement	engine_type	gear_type	transmission	power	power_kvt	acceleration	clearance_min	fuel_rate	code	model	vendor	tax_by_year	osago_price
0	FAFBFB	used	1276000.0	174000	True	1	2016	True	LEFT	LIFTBACK	5					1197	GASOLINE	FORWARD_CONTROL	ROBOT	105	77				SKODA	OCTAVIA	EUROPEAN	5250.0	5521.0
1	EE1D19	used	502280.0	290000	True	3	2009	True	LEFT	LIFTBACK	5					1390	GASOLINE	FORWARD_CONTROL	MECHANICAL	75	55				SKODA	OCTAVIA	EUROPEAN	5250.0	5521.0
2	FAFBFB	used	1933800.0	75500	True	2	2018	True	LEFT	ALLROAD_5_DOORS	5					1498	GASOLINE	FORWARD_CONTROL	MECHANICAL	150	110				SKODA	KODIAQ	EUROPEAN	5250.0	
3	FAFBFB	used	1496930.0	107983	True	2	2017	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	MECHANICAL	110	81				SKODA	OCTAVIA	EUROPEAN	9000.0	
4	007F00	used	2100000.0	52387	True	1	2019	True	LEFT	ALLROAD_5_DOORS	5					1395	GASOLINE	ALL_WHEEL_DRIVE	ROBOT	150	110				SKODA	KODIAQ	EUROPEAN	5250.0	5521.0
5	040001	used	684250.0	222530	True	4	2010	True	LEFT	LIFTBACK	5					1798	GASOLINE	ALL_WHEEL_DRIVE	MECHANICAL	160	118				SKODA	SUPERB	EUROPEAN	6840.0	6309.0
6	200204	used	2146000.0	52200	True	1	2019	True	LEFT	LIFTBACK	5					1968	DIESEL	ALL_WHEEL_DRIVE	MECHANICAL	150	110				SKODA	OCTAVIA	EUROPEAN	9000.0	
7	200204	used	750000.0	85000	True	1	2016	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	MECHANICAL	110	81				SKODA	OCTAVIA	EUROPEAN	2750.0	4732.0
8	007F00	used	2714000.0	41300	True	1	2020	True	LEFT	LIFTBACK	5					1798	GASOLINE	FORWARD_CONTROL	ROBOT	180	132				SKODA	OCTAVIA	EUROPEAN	9000.0	
9	200204	used	922200.0	135680	True	2	2014	True	LEFT	WAGON_5_DOORS	5					1197	GASOLINE	FORWARD_CONTROL	ROBOT	105	77				SKODA	OCTAVIA	EUROPEAN	4900.0	5521.0
10	FAFBFB	used	1096200.0	30160	True	1	2019	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	MECHANICAL	90	66				SKODA	RAPID	EUROPEAN	2750.0	4732.0
11	FAFBFB	used	442900.0	309000	True	2	2014	True	LEFT	LIFTBACK	5					1598	DIESEL	FORWARD_CONTROL	MECHANICAL	105	77				SKODA	OCTAVIA	EUROPEAN	4900.0	
12	FAFBFB	used	480760.0	96960	True	1	2013	True	LEFT	HATCHBACK_5_DOORS	5					1197	GASOLINE	FORWARD_CONTROL	ROBOT	105	77				SKODA	FABIA	EUROPEAN	1032.0	
13	007F00	used	777890.0	68480	True	1	2013	True	LEFT	HATCHBACK_5_DOORS	5					1598	GASOLINE	FORWARD_CONTROL	AUTOMATIC	105	77				SKODA	FABIA	EUROPEAN	2625.0	
14	FAFBFB	used	668750.0	104860	True	4	2013	True	LEFT	LIFTBACK	5					1390	GASOLINE	FORWARD_CONTROL	ROBOT	122	90				SKODA	OCTAVIA	EUROPEAN	6840.0	6309.0
15	97948F	used	770400.0	247919	True	2	2011	True	LEFT	WAGON_5_DOORS	5					1968	DIESEL	ALL_WHEEL_DRIVE	ROBOT	140	103				SKODA	OCTAVIA	EUROPEAN	4900.0	5521.0
16	0000CC	used	319000.0	159000	True	4	2003	True	LEFT	WAGON_5_DOORS	5					1896	DIESEL	ALL_WHEEL_DRIVE	MECHANICAL	90	66				SKODA	OCTAVIA	EUROPEAN	2550.0	4732.0
17	FAFBFB	used	892700.0	36160	True	1	2016	True	LEFT	LIFTBACK	5					1198	GASOLINE	FORWARD_CONTROL	MECHANICAL	75	55				SKODA	RAPID	EUROPEAN	3125.0	5521.0
18	97948F	used	2854810.0	57931	True	1	2018	True	LEFT	ALLROAD_5_DOORS	5					1968	DIESEL	ALL_WHEEL_DRIVE	MECHANICAL	150	110				SKODA	KODIAQ	EUROPEAN	9000.0	
19	FAFBFB	used	0.0	99710	True	2	2017	True	LEFT	LIFTBACK	5					1395	GASOLINE	FORWARD_CONTROL	MECHANICAL	125	92				SKODA	SUPERB	EUROPEAN	5250.0	
20	007F00	used	1680000.0	257600	True	2	2012	True	LEFT	LIFTBACK	5					1798	GASOLINE	FORWARD_CONTROL	ROBOT	152	112				SKODA	OCTAVIA	EUROPEAN	6840.0	6309.0
21	FAFBFB	used	1459200.0	164160	True	1	2014	True	LEFT	WAGON_5_DOORS	5					1968	DIESEL	ALL_WHEEL_DRIVE	ROBOT	150	110				SKODA	OCTAVIA	EUROPEAN	9000.0	6309.0
22	FAFBFB	used	2315370.0	193150	True	3	2017	True	LEFT	ALLROAD_5_DOORS	5					1395	GASOLINE	ALL_WHEEL_DRIVE	MECHANICAL	150	110				SKODA	KODIAQ	EUROPEAN	5250.0	5521.0
23	040001	used	1271100.0	163704	True	2	2014	True	LEFT	WAGON_5_DOORS	5					1968	DIESEL	FORWARD_CONTROL	ROBOT	140	103				SKODA	SUPERB	EUROPEAN	6840.0	6309.0
24	CACECB	used	582400.0	200480	True	4	2009	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	MECHANICAL	115	85				SKODA	OCTAVIA	EUROPEAN	2550.0	
25	200204	used	1063800.0	90300	True	3	2016	True	LEFT	ALLROAD_5_DOORS	5					1968	DIESEL	ALL_WHEEL_DRIVE	ROBOT	150	110				SKODA	YETI	EUROPEAN	6840.0	6309.0
26	0000CC	used	178500.0	162180	True	4	2002	True	LEFT	WAGON_5_DOORS	5					1390	GASOLINE	FORWARD_CONTROL	MECHANICAL	101	74				SKODA	FABIA	EUROPEAN	900.0	4338.0
27	C49648	used	2182700.0	65842	True	1	2018	True	LEFT	ALLROAD_5_DOORS	5					1498	GASOLINE	FORWARD_CONTROL	MECHANICAL	150	110				SKODA	KODIAQ	EUROPEAN	5250.0	
28	C49648	used	2103660.0	69685	True	1	2019	True	LEFT	ALLROAD_5_DOORS	5					1984	GASOLINE	ALL_WHEEL_DRIVE	ROBOT	180	132				SKODA	KODIAQ	EUROPEAN	5250.0	
29	FAFBFB	used	344000.0	281205	True	1	2012	True	LEFT	HATCHBACK_5_DOORS	5					1198	GASOLINE	FORWARD_CONTROL	MECHANICAL	60	44				SKODA	FABIA	EUROPEAN	840.0	
30	FAFBFB	used	787320.0	135000	True	4	2012	True	LEFT	LIFTBACK	5					1984	GASOLINE	FORWARD_CONTROL	ROBOT	200	147				SKODA	SUPERB	EUROPEAN	6840.0	6309.0
31	0000CC	used	1699500.0	27500	True	1	2018	True	LEFT	LIFTBACK	5					1984	GASOLINE	FORWARD_CONTROL	ROBOT	190	140				SKODA	OCTAVIA	EUROPEAN	9000.0	6309.0
32	97948F	used	937950.0	106560	True	1	2015	True	LEFT	ALLROAD_5_DOORS	5					1968	DIESEL	FORWARD_CONTROL	MECHANICAL	110	81				SKODA	YETI	EUROPEAN	3050.0	5521.0
33	040001	used	1632150.0	112320	True	1	2017	True	LEFT	LIFTBACK	5					1968	DIESEL	ALL_WHEEL_DRIVE	ROBOT	190	140				SKODA	SUPERB	EUROPEAN	5250.0	5521.0
34	97948F	used	887400.0	148620	True	1	2013	True	LEFT	LIFTBACK	5					1598	DIESEL	FORWARD_CONTROL	MECHANICAL	105	77				SKODA	OCTAVIA	EUROPEAN	6840.0	6309.0
35	FAFBFB	used	1150000.0	80500	True	2	2017	True	LEFT	LIFTBACK	5					1968	DIESEL	ALL_WHEEL_DRIVE	ROBOT	150	110				SKODA	OCTAVIA	EUROPEAN	5250.0	5521.0
36	0000CC	used	1508640.0	9372	True	1	2021	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	MECHANICAL	110	81				SKODA	RAPID	EUROPEAN	3125.0	
37	0000CC	used	1459700.0	85377	True	1	2019	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	AUTOMATIC	110	81				SKODA	OCTAVIA	EUROPEAN	2750.0	
38	97948F	used	360500.0	340930	True	3	2006	True	LEFT	LIFTBACK	5					1798	GASOLINE	FORWARD_CONTROL	MECHANICAL	152	112				SKODA	OCTAVIA	EUROPEAN	2875.0	
39	007F00	used	777890.0	68480	True	1	2013	True	LEFT	HATCHBACK_5_DOORS	5					1598	GASOLINE	FORWARD_CONTROL	AUTOMATIC	105	77				SKODA	FABIA	EUROPEAN	2625.0	4732.0
40	FAFBFB	used	1459200.0	164160	True	1	2014	True	LEFT	WAGON_5_DOORS	5					1968	DIESEL	ALL_WHEEL_DRIVE	ROBOT	150	110				SKODA	OCTAVIA	EUROPEAN	9000.0	
41	0000CC	used	2731110.0	31031	True	2	2018	True	LEFT	ALLROAD_5_DOORS	5					1968	DIESEL	ALL_WHEEL_DRIVE	ROBOT	150	110				SKODA	KODIAQ	EUROPEAN	5250.0	
42	CACECB	used	1673570.0	51744	True	2	2018	True	LEFT	LIFTBACK	5					1968	DIESEL	ALL_WHEEL_DRIVE	MECHANICAL	150	110				SKODA	OCTAVIA	EUROPEAN	9000.0	
43	EE1D19	used	1451990.0	32066	True	1	2020	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	MECHANICAL	90	66				SKODA	RAPID	EUROPEAN	2750.0	4732.0
44	200204	used	794850.0	177374	True	2	2014	True	LEFT	LIFTBACK	5					1598	DIESEL	ALL_WHEEL_DRIVE	MECHANICAL	110	81				SKODA	OCTAVIA	EUROPEAN	4900.0	
45	040001	used	661200.0	155440	True	2	2011	True	LEFT	LIFTBACK	5					1598	GASOLINE	FORWARD_CONTROL	AUTOMATIC	115	85				SKODA	OCTAVIA	EUROPEAN	6840.0	6309.0
46	EE1D19	used	623309.94	78262	True	2	2012	True	LEFT	ALLROAD_5_DOORS	5					1968	DIESEL	ALL_WHEEL_DRIVE	MECHANICAL	110	81				SKODA	YETI	EUROPEAN	3570.0	4022.0
47	FAFBFB	used	0.0	85020	True	1	2016	True	LEFT	LIFTBACK	5					1798	GASOLINE	FORWARD_CONTROL	ROBOT	180	132				SKODA	OCTAVIA	EUROPEAN	2750.0	
